"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.3008240436737e-42,0.946012336420586,0.164,0.001,7.21788237113229e-38,"0","Xist"
1.13254300217496e-19,0.568173333551092,0.177,0.056,6.28414135616821e-15,"0","Slc15a2"
1.72863895594586e-15,0.559974725734866,0.644,0.5,9.59169897485678e-11,"0","Ifi27l2a"
3.74052439935593e-15,0.429282587494813,0.628,0.486,2.07550477347062e-10,"0","Rflnb"
2.86738151642188e-11,0.395473218270606,0.398,0.275,1.59102398201701e-06,"0","Atp6v1d"
3.1407931995251e-09,0.228698167953581,0.683,0.551,0.000174273192262049,"0","Klf3"
9.40571413055349e-09,0.350676754329182,0.285,0.183,0.000521894859962022,"0","Sidt1"
7.40037189270748e-08,0.27206270714101,0.172,0.095,0.0041062443521066,"0","Acss2"
1.01083243398827e-07,0.233770416998492,0.723,0.629,0.00560880592647073,"0","Slfn2"
1.63622603980243e-07,0.232335803146674,0.836,0.741,0.00907892742705176,"0","Crlf3"
1.767234020746e-07,0.425650000204903,0.266,0.175,0.00980585141091331,"0","Tubb2a"
2.43830369950672e-07,0.212537941674496,0.813,0.742,0.013529415737453,"0","Fyb"
7.18277084824747e-07,0.190765423284857,0.816,0.748,0.0398550406056707,"0","Atp1b3"
7.40583314121749e-07,0.222622474689478,0.139,0.074,0.0410927463506735,"0","Snhg20"
6.28444997225073e-35,1.00955178259301,0.218,0.002,3.48705275610276e-30,"1","Xist"
6.75379872638882e-15,0.62126122443642,0.62,0.433,3.74748029931137e-10,"1","Ifi27l2a"
2.70924623962541e-14,0.537390048853895,0.209,0.068,1.50327946098095e-09,"1","Slc15a2"
2.71509991676073e-07,0.350111462555133,0.438,0.315,0.0150652749081303,"1","Cd7"
2.73690801134962e-07,0.305711744304132,0.202,0.104,0.0151862814825756,"1","Map3k14"
4.55451558739437e-07,0.343367278803501,0.457,0.328,0.0252716406397752,"1","Slamf6"
8.11160922213623e-07,0.312160190505834,0.553,0.431,0.0450088860908673,"1","Sidt1"
1.34028628378625e-36,1.06743935926929,0.237,0,7.43684650284475e-32,"2","Xist"
1.70362226725301e-09,0.337246920046166,0.128,0.037,9.45288887430677e-05,"2","Slc15a2"
7.76348697769068e-27,1.05046293840231,0.182,0,4.30772601931123e-22,"3","Xist"
1.4522974357577e-10,0.448994814863464,0.677,0.511,8.05836278178874e-06,"3","Ifi27l2a"
3.26904316838911e-07,0.268744145401407,0.1,0.028,0.0181389398284407,"3","Slc15a2"
1.27433541858404e-24,1.77824874993155,0.396,0.005,7.07090493709725e-20,"4","Xist"
1.10873554897066e-21,1.53813749994879,0.389,0.016,6.15204094057349e-17,"5","Xist"
1.41329964390482e-11,1.02594290510508,0.433,0.166,7.84197573413468e-07,"5","Tmem176a"
1.47540551245805e-10,0.96420715371127,0.583,0.321,8.18658256697597e-06,"5","Cxcr6"
6.38461791418017e-10,0.870735540605074,0.348,0.107,3.54263294204115e-05,"5","Ccr6"
2.19378248571763e-09,0.773519000366866,0.469,0.225,0.000121726408785014,"5","Ccr4"
2.43091604295696e-09,2.2977232218813,0.237,0.043,0.000134884238475553,"5","Il17a"
2.54706420627227e-09,0.927889566617464,0.379,0.144,0.000141328951613429,"5","Ramp1"
1.71180158957386e-08,0.83585330096957,0.31,0.107,0.000949827348006845,"5","Aqp3"
1.77097835829251e-08,0.601405185548733,0.181,0.016,0.000982662761665763,"5","Il17re"
2.2757324322645e-08,0.746883187803729,0.188,0.021,0.00126273565469061,"5","Il1r1"
3.09610682652837e-08,0.743741934415123,0.473,0.241,0.00171793679483579,"5","Tmem176b"
3.10080676642202e-08,0.684894263160562,0.274,0.08,0.00172054465048458,"5","Ckb"
3.70052920211934e-08,0.516912844306352,0.446,0.198,0.00205331263837996,"5","Satb1"
1.53387711081996e-07,0.713297349996044,0.281,0.091,0.0085110239248067,"5","Serpinb1a"
4.50162592461875e-07,0.625408813849898,0.163,0.021,0.024978171767932,"5","Il23r"
6.72342927605117e-07,0.564828168185588,0.237,0.07,0.0373062920240251,"5","Rorc"
1.66838908535439e-13,1.37322449092149,0.308,0.013,9.25739051790589e-09,"6","Xist"
3.37913477190425e-08,1.29599601418719,0.198,0,0.00187498051088651,"7","Xist"
2.16031442850418e-10,1.30294962831856,0.259,0,1.19869366694411e-05,"8","Xist"
7.37558369013479e-08,1.50440466063247,0.29,0,0.00409249012214509,"9","Xist"
4.6034051888947e-08,1.02577358934179,0.257,0,0.002554291437162,"10","Xist"
2.90391939571113e-10,1.55802822174127,0.412,0,1.61129775509823e-05,"12","Xist"
