"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","organ"
2.66488253719051e-17,0.188026386318424,0.988,0.989,3.41104964760385e-15,"CD45","0","Colon"
1.63438057202856e-22,0.117111035574359,1,1,2.09200713219655e-20,"VISTA","0","Lung"
5.42938595424076e-16,0.0592383376667757,1,0.998,6.94961402142817e-14,"CD2","0","Lung"
2.17531623416026e-06,0.101760978008501,0.997,0.997,0.000278440477972514,"SCA1","0","Lung"
4.31492269312547e-05,0.0572149879703125,1,1,0.0055231010472006,"CD55.DAF","0","Lung"
1.4654963751936e-14,0.1116938276037,0.999,1,1.8758353602478e-12,"VISTA","1","Lung"
6.61367206204637e-09,0.0600544503629401,1,1,8.46550023941936e-07,"CD28","1","Lung"
1.6068545716678e-08,0.108613556055918,1,1,2.05677385173478e-06,"ITB7","1","Lung"
4.3950150832868e-07,0.101249500313888,1,1,5.6256193066071e-05,"CD103","1","Lung"
1.77606220488019e-07,0.0884771770763503,1,1,2.27335962224664e-05,"ITB7","2","mLns"
4.69187099582209e-07,0.0865208212794518,0.999,1,6.00559487465227e-05,"CD103","2","mLns"
0.000336004678929712,0.0534340508606382,0.964,0.965,0.0430085989030031,"SCA1","2","mLns"
1.74341890967633e-11,0.0721364351525564,0.999,1,2.23157620438571e-09,"VISTA","3","mLns"
2.42239669871982e-08,0.0714632556575656,1,0.998,3.10066777436137e-06,"CD45","3","mLns"
1.10349127244013e-06,0.0542169071517915,1,1,0.000141246882872336,"CD27","3","mLns"
1.05093959887291e-05,0.101944710799074,0.996,0.989,0.00134520268655732,"SCA1","3","mLns"
0.000306558153763521,0.0526606064222246,0.99,0.977,0.0392394436817307,"ICOS.CD278","3","mLns"
0.000315874853719759,0.196888374674913,1,1,0.0404319812761291,"CD38","5","Colon"
6.31211590303745e-10,0.188479966109475,1,1,8.07950835588794e-08,"SLAM.CD150","5","Lung"
1.25523973377324e-09,0.27024591969086,0.997,1,1.60670685922975e-07,"ICOS.CD278","5","Lung"
3.03467193998413e-05,0.171452115610239,0.867,0.777,0.00388438008317969,"ITAX.CD11C","5","Lung"
3.84355414565581e-05,0.140625098458094,1,1,0.00491974930643943,"CD48","5","Lung"
7.84052121789652e-05,0.0955306461714478,1,1,0.0100358671589076,"CD11A","5","Lung"
0.000128030383604277,0.123056531910847,1,1,0.0163878891013475,"CD61","5","Lung"
0.000314811600818043,0.0947876798914014,1,1,0.0402958849047095,"CD44","5","Lung"
0.000379485245771495,0.152856123220036,1,1,0.0485741114587513,"CD103","5","Lung"
0.000390455184826404,0.0922728565716183,1,1,0.0499782636577797,"HAVCR2","5","Lung"
